review_id,clean_text,metadata_json
e734ab3164e67f89b193,it is nice product and quality is very good,"{""review_id"": ""e734ab3164e67f89b193"", ""source"": ""play_store""}"
28a0b15f7f26985408f8,This company puts out fake offers... and cancels orders after accepting them.,"{""review_id"": ""28a0b15f7f26985408f8"", ""source"": ""play_store""}"
d789f54bbb54d3925483,Yes It was a great experience because delivery is fast within tomorrow to your house 🏠.,"{""review_id"": ""d789f54bbb54d3925483"", ""source"": ""play_store""}"
abc5ba6ce6e3ca0ee78f,great 👍 experience,"{""review_id"": ""abc5ba6ce6e3ca0ee78f"", ""source"": ""play_store""}"
b52f3b01e64cf33af376,nice Mitra,"{""review_id"": ""b52f3b01e64cf33af376"", ""source"": ""play_store""}"
938513fa776181d867f2,cloth ki quality bhaut h achi h 😊 mst h,"{""review_id"": ""938513fa776181d867f2"", ""source"": ""play_store""}"
911925257593aefebce6,super quality by products,"{""review_id"": ""911925257593aefebce6"", ""source"": ""play_store""}"
63b303418c3e6ffe87ce,"love the customer care, the app, the brands, everything!","{""review_id"": ""63b303418c3e6ffe87ce"", ""source"": ""play_store""}"
1b4f3d6e6bed8856162c,excellent 👌🏻,"{""review_id"": ""1b4f3d6e6bed8856162c"", ""source"": ""play_store""}"
820ae4bc2d80faf72c39,"VERY DISAPPOINTING EXPERIENCE and that too for the second time from MYNTRA ,the first time being the order getting cancelled by itself without any prior headsup or whatsoever!! This time a delivery delay of more than a week? No proper accountable answer or explanation regarding the delay too . The delivery couldn't be made even it has already reached the destination city!!! And that too a week??? And no plausible explanation for the same!!! Very disappointing, very much unlikely of suggesting.","{""review_id"": ""820ae4bc2d80faf72c39"", ""source"": ""play_store""}"
16652bae1d580dcfc463,iam happy 😊,"{""review_id"": ""16652bae1d580dcfc463"", ""source"": ""play_store""}"
44742182c1d49757c41c,veryyyy nice app,"{""review_id"": ""44742182c1d49757c41c"", ""source"": ""play_store""}"
20f03a65cac4e1d19983,Totally Good,"{""review_id"": ""20f03a65cac4e1d19983"", ""source"": ""play_store""}"
a66eb55ae7cc3f318a41,loved the product and quality,"{""review_id"": ""a66eb55ae7cc3f318a41"", ""source"": ""play_store""}"
5dc03a19b8a16636254b,I love this app❤️,"{""review_id"": ""5dc03a19b8a16636254b"", ""source"": ""play_store""}"
3b50a10111591dea536e,easy process,"{""review_id"": ""3b50a10111591dea536e"", ""source"": ""play_store""}"
6793d66cc48ee971f857,good place for shopping,"{""review_id"": ""6793d66cc48ee971f857"", ""source"": ""play_store""}"
33c007374d9688d188ef,excellant products and good service,"{""review_id"": ""33c007374d9688d188ef"", ""source"": ""play_store""}"
4f409ec1637b34852a61,I have been using myntra for a long time.,"{""review_id"": ""4f409ec1637b34852a61"", ""source"": ""play_store""}"
5d2d7793d56b29860250,nice application,"{""review_id"": ""5d2d7793d56b29860250"", ""source"": ""play_store""}"
6903ea7083f51b799a33,I have always found genuine products whenever I ordered,"{""review_id"": ""6903ea7083f51b799a33"", ""source"": ""play_store""}"
7926866d54760e9822c1,Collections are great in all categories from women's western dresses to men's wear with good quality.,"{""review_id"": ""7926866d54760e9822c1"", ""source"": ""play_store""}"
cfb47cf285dc12b46a67,Bad customer service. Not Received refund with not my fault. I ordered 5 products from which I received 2 products and 1 different product and the other 2 products were missing. I complained to customer service but they refused to give me a refund saying that the item was shipped properly from their side . I bear a huge amount of loss.,"{""review_id"": ""cfb47cf285dc12b46a67"", ""source"": ""play_store""}"
9e2abd1f863d32ce4852,problem with myntra is when u scroll down and see any item and came back it directly starts from top again.. where in amazona nd other app the keep user to the same place where ever they have scrolled. pathetic developer who ever developed .. do not pay salary to him.,"{""review_id"": ""9e2abd1f863d32ce4852"", ""source"": ""play_store""}"
ed26561910572dcad9b7,Nice product same as in image,"{""review_id"": ""ed26561910572dcad9b7"", ""source"": ""play_store""}"
72051ae18dfc550590f3,trustworthy products,"{""review_id"": ""72051ae18dfc550590f3"", ""source"": ""play_store""}"
3ec8d2428ae9f515b2c5,the delivery date is not fixed,"{""review_id"": ""3ec8d2428ae9f515b2c5"", ""source"": ""play_store""}"
18f9a73271f61e4497f3,Excellent 👌,"{""review_id"": ""18f9a73271f61e4497f3"", ""source"": ""play_store""}"
ce55980eae456d75df74,Best shopping app I have ever use,"{""review_id"": ""ce55980eae456d75df74"", ""source"": ""play_store""}"
c0e95b64147169724c2d,"Worst Experience Ever! Do NOT Install! 👎 Absolutely useless app and worst customer support. They don't process returns or refunds properly, and their support center gives no response. Very bad service. Don't waste your time and money on Myntra!","{""review_id"": ""c0e95b64147169724c2d"", ""source"": ""play_store""}"
fe76972fc847b1f8a510,I love this app and this apps product is too good 😊,"{""review_id"": ""fe76972fc847b1f8a510"", ""source"": ""play_store""}"
a53942b7475da6edba6f,very asom experience,"{""review_id"": ""a53942b7475da6edba6f"", ""source"": ""play_store""}"
169f6b0c84026a380470,best skincare section❤️❤️,"{""review_id"": ""169f6b0c84026a380470"", ""source"": ""play_store""}"
b9249ac437344eb38508,for Clothing Choose Mantra,"{""review_id"": ""b9249ac437344eb38508"", ""source"": ""play_store""}"
